#;Name;Type 1;Type 2;Total;HP
1;Bulbasaur;Grass;Poison;318;45
2;Ivysaur;Grass;Poison;405;60
3;Venusaur;Grass;Poison;525;80
4;VenusaurMega Venusaur;Grass;Poison;625;80
5;Charmander;Fire;;309;39
6;Charmeleon;Fire;;405;58
7;Charizard;Fire;Flying;534;78
8;CharizardMega Charizard X;Fire;Dragon;634;78
9;CharizardMega Charizard Y;Fire;Flying;634;78
10;Squirtle;Water;;314;44
11;Wartortle;Water;;405;59
12;Blastoise;Water;;530;79
13;BlastoiseMega Blastoise;Water;;630;79
14;Caterpie;Bug;;195;45
15;Metapod;Bug;;205;50
16;Butterfree;Bug;Flying;395;60
17;Weedle;Bug;Poison;195;40
18;Kakuna;Bug;Poison;205;45
19;Beedrill;Bug;Poison;395;65
20;BeedrillMega Beedrill;Bug;Poison;495;65
21;Pidgey;Normal;Flying;251;40
22;Pidgeotto;Normal;Flying;349;63
23;Pidgeot;Normal;Flying;479;83
24;PidgeotMega Pidgeot;Normal;Flying;579;83
25;Rattata;Normal;;253;30
26;Raticate;Normal;;413;55
27;Spearow;Normal;Flying;262;40
28;Fearow;Normal;Flying;442;65
29;Ekans;Poison;;288;35
30;Arbok;Poison;;438;60
31;Pikachu;Electric;;320;35
32;Raichu;Electric;;485;60
33;Sandshrew;Ground;;300;50
34;Sandslash;Ground;;450;75
35;Nidoranâ™€;Poison;;275;55
36;Nidorina;Poison;;365;70
37;Nidoqueen;Poison;Ground;505;90
38;Nidoranâ™‚;Poison;;273;46
39;Nidorino;Poison;;365;61
40;Nidoking;Poison;Ground;505;81
41;Clefairy;Fairy;;323;70
42;Clefable;Fairy;;483;95
43;Vulpix;Fire;;299;38
44;Ninetales;Fire;;505;73
45;Jigglypuff;Normal;Fairy;270;115
46;Wigglytuff;Normal;Fairy;435;140
47;Zubat;Poison;Flying;245;40
48;Golbat;Poison;Flying;455;75
49;Oddish;Grass;Poison;320;45
50;Gloom;Grass;Poison;395;60
51;Vileplume;Grass;Poison;490;75
52;Paras;Bug;Grass;285;35
53;Parasect;Bug;Grass;405;60
54;Venonat;Bug;Poison;305;60
55;Venomoth;Bug;Poison;450;70
56;Diglett;Ground;;265;10
57;Dugtrio;Ground;;405;35
58;Meowth;Normal;;290;40
59;Persian;Normal;;440;65
60;Psyduck;Water;;320;50
61;Golduck;Water;;500;80
62;Mankey;Fighting;;305;40
63;Primeape;Fighting;;455;65
64;Growlithe;Fire;;350;55
65;Arcanine;Fire;;555;90
